dataset,size,algorithm,time_us,char_ops,sorted
random,100,standard_quick_sort,13,702,yes
random,100,standard_merge_sort,54,620,yes
random,100,string_quick_sort,6,701,yes
random,100,string_merge_sort,42,1172,yes
random,100,msd_radix_sort,53,364,yes
random,100,msd_radix_quick_sort,10,310,yes
random,400,standard_quick_sort,62,4085,yes
random,400,standard_merge_sort,219,3649,yes
random,400,string_quick_sort,28,3355,yes
random,400,string_merge_sort,214,6622,yes
random,400,msd_radix_sort,148,1644,yes
random,400,msd_radix_quick_sort,42,1767,yes
random,700,standard_quick_sort,119,8469,yes
random,700,standard_merge_sort,448,7461,yes
random,700,string_quick_sort,60,6242,yes
random,700,string_merge_sort,420,13244,yes
random,700,msd_radix_sort,211,2950,yes
random,700,msd_radix_quick_sort,66,3639,yes
random,1000,standard_quick_sort,158,13746,yes
random,1000,standard_merge_sort,558,11571,yes
random,1000,string_quick_sort,69,10015,yes
random,1000,string_merge_sort,558,20305,yes
random,1000,msd_radix_sort,268,4316,yes
random,1000,msd_radix_quick_sort,98,5652,yes
reverse_sorted,100,standard_quick_sort,26,5511,yes
reverse_sorted,100,standard_merge_sort,34,575,yes
reverse_sorted,100,string_quick_sort,3,865,yes
reverse_sorted,100,string_merge_sort,33,931,yes
reverse_sorted,100,msd_radix_sort,27,424,yes
reverse_sorted,100,msd_radix_quick_sort,9,810,yes
reverse_sorted,400,standard_quick_sort,309,82442,yes
reverse_sorted,400,standard_merge_sort,138,2781,yes
reverse_sorted,400,string_quick_sort,19,8623,yes
reverse_sorted,400,string_merge_sort,136,4605,yes
reverse_sorted,400,msd_radix_sort,106,1772,yes
reverse_sorted,400,msd_radix_quick_sort,33,3516,yes
reverse_sorted,700,standard_quick_sort,816,249380,yes
reverse_sorted,700,standard_merge_sort,265,5173,yes
reverse_sorted,700,string_quick_sort,47,22716,yes
reverse_sorted,700,string_merge_sort,266,8677,yes
reverse_sorted,700,msd_radix_sort,180,3088,yes
reverse_sorted,700,msd_radix_quick_sort,60,6246,yes
reverse_sorted,1000,standard_quick_sort,1510,506327,yes
reverse_sorted,1000,standard_merge_sort,351,7221,yes
reverse_sorted,1000,string_quick_sort,81,43381,yes
reverse_sorted,1000,string_merge_sort,349,12265,yes
reverse_sorted,1000,msd_radix_sort,229,4402,yes
reverse_sorted,1000,msd_radix_quick_sort,76,9015,yes
almost_sorted,100,standard_quick_sort,9,1550,yes
almost_sorted,100,standard_merge_sort,22,598,yes
almost_sorted,100,string_quick_sort,2,807,yes
almost_sorted,100,string_merge_sort,22,1003,yes
almost_sorted,100,msd_radix_sort,22,428,yes
almost_sorted,100,msd_radix_quick_sort,7,605,yes
almost_sorted,400,standard_quick_sort,51,10926,yes
almost_sorted,400,standard_merge_sort,113,3073,yes
almost_sorted,400,string_quick_sort,17,7124,yes
almost_sorted,400,string_merge_sort,114,5331,yes
almost_sorted,400,msd_radix_sort,89,1742,yes
almost_sorted,400,msd_radix_quick_sort,25,2486,yes
almost_sorted,700,standard_quick_sort,89,22078,yes
almost_sorted,700,standard_merge_sort,193,5960,yes
almost_sorted,700,string_quick_sort,31,13861,yes
almost_sorted,700,string_merge_sort,196,10458,yes
almost_sorted,700,msd_radix_sort,139,3046,yes
almost_sorted,700,msd_radix_quick_sort,45,4368,yes
almost_sorted,1000,standard_quick_sort,119,30262,yes
almost_sorted,1000,standard_merge_sort,260,8484,yes
almost_sorted,1000,string_quick_sort,52,23498,yes
almost_sorted,1000,string_merge_sort,271,14807,yes
almost_sorted,1000,msd_radix_sort,203,4352,yes
almost_sorted,1000,msd_radix_quick_sort,66,6275,yes
common_prefix,100,standard_quick_sort,19,14467,yes
common_prefix,100,standard_merge_sort,37,11323,yes
common_prefix,100,string_quick_sort,5,2741,yes
common_prefix,100,string_merge_sort,38,11859,yes
common_prefix,100,msd_radix_sort,68,4356,yes
common_prefix,100,msd_radix_quick_sort,41,4309,yes
common_prefix,400,standard_quick_sort,107,88746,yes
common_prefix,400,standard_merge_sort,182,62871,yes
common_prefix,400,string_quick_sort,24,11722,yes
common_prefix,400,string_merge_sort,186,65833,yes
common_prefix,400,msd_radix_sort,203,17638,yes
common_prefix,400,msd_radix_quick_sort,136,17736,yes
common_prefix,700,standard_quick_sort,201,166039,yes
common_prefix,700,standard_merge_sort,334,122127,yes
common_prefix,700,string_quick_sort,43,21230,yes
common_prefix,700,string_merge_sort,324,127862,yes
common_prefix,700,msd_radix_sort,295,30956,yes
common_prefix,700,msd_radix_quick_sort,213,31589,yes
common_prefix,1000,standard_quick_sort,276,244505,yes
common_prefix,1000,standard_merge_sort,479,185829,yes
common_prefix,1000,string_quick_sort,64,30911,yes
common_prefix,1000,string_merge_sort,485,194542,yes
common_prefix,1000,msd_radix_sort,421,44294,yes
common_prefix,1000,msd_radix_quick_sort,311,45658,yes
